name,id,Rate1,Rate2,Rate3
"Goodhue, MN",27049,29344,1723,5943
"Grant, MN",27051,3766,218,3372
"Hennepin, MN",27053,1057734,653,2302
"Houston, MN",27055,9099,943,3706
"Hubbard, MN",27057,9160,201,4981
"Isanti, MN",27059,16739,905,427
"Itasca, MN",27061,21809,1345,115
"Jackson, MN",27063,7215,1175,4216
"Kanabec, MN",27065,6793,1239,1582
"Kandiyohi, MN",27067,29199,313,4896
"Kittson, MN",27069,2918,1447,5039
"Koochiching, MN",27071,8072,1920,3421
"Lac qui Parle, MN",27073,4930,841,5073
"Lake, MN",27075,6344,881,1651
"Lake of the Woods, MN",27077,2505,904,1183
"Le Sueur, MN",27079,14581,337,5865
"Lincoln, MN",27081,3499,1717,2814
"Lyon, MN",27083,19507,520,1028
"McLeod, MN",27085,23657,1724,3672
"Mahnomen, MN",27087,3123,447,4328
"Marshall, MN",27089,5384,1690,5920
"Martin, MN",27091,14087,262,4331
"Meeker, MN",27093,12171,1794,1137
"Mille Lacs, MN",27095,13145,829,5140
"Morrison, MN",27097,16505,318,1106
"Mower, MN",27099,21547,1447,4406
"Murray, MN",27101,5138,1630,5727
"Nicollet, MN",27103,18027,343,1094
"Nobles, MN",27105,14306,1939,3889
"Norman, MN",27107,4103,1890,4163
"Olmsted, MN",27109,100965,1524,3968
"Otter Tail, MN",27111,33254,1593,5426
"Pennington, MN",27113,10800,1162,2784
"Pine, MN",27115,11530,1998,1159
"Pipestone, MN",27117,6626,624,1776
"Polk, MN",27119,17546,1715,5674
"Pope, MN",27121,6227,555,1346
"Ramsey, MN",27123,398286,1246,3373
"Red Lake, MN",27125,2160,280,1950
"Redwood, MN",27127,10610,703,1920
"Renville, MN",27129,9571,1071,4861
"Rice, MN",27131,29464,1893,3251
"Rock, MN",27133,5375,1250,5933
"Roseau, MN",27135,12059,940,4689
"St. Louis, MN",27137,119844,431,4224
"Scott, MN",27139,44544,1656,3841
"Sherburne, MN",27141,26292,1757,7
"Sibley, MN",27143,6388,610,84
"Stearns, MN",27145,96432,1389,1958
"Steele, MN",27147,24875,1685,2573
"Stevens, MN",27149,6572,1896,5897
"Swift, MN",27151,6371,514,5158
"Todd, MN",27153,11232,1149,59
"Traverse, MN",27155,2120,109,5056
"Wabasha, MN",27157,10810,2000,4442
"Wadena, MN",27159,9104,463,2921
"Waseca, MN",27161,11073,434,2552
"Washington, MN",27163,85883,798,4560
"Watonwan, MN",27165,6710,1073,3643
"Wilkin, MN",27167,3585,1495,4425
"Winona, MN",27169,32086,786,3421
"Wright, MN",27171,41039,756,3297
"Yellow Medicine, MN",27173,6853,1736,5309
MISSISSIPPI,28000,1492672,804,4789
"Adams, MS",28001,18527,940,1753
"Alcorn, MS",28003,18212,1293,4107
"Amite, MS",28005,5223,469,2956
"Attala, MS",28007,8858,331,1040
"Benton, MS",28009,2496,38,4056
"Bolivar, MS",28011,17217,631,574
"Calhoun, MS",28013,6421,169,305
"Carroll, MS",28015,2462,593,1409
"Chickasaw, MS",28017,10341,1259,2696
"Choctaw, MS",28019,3330,1514,1139
"Claiborne, MS",28021,5446,1885,3767
"Clarke, MS",28023,6315,1805,507
"Clay, MS",28025,11316,680,5230
"Coahoma, MS",28027,14009,1800,3337
"Copiah, MS",28029,10659,677,4260
"Covington, MS",28031,7737,1034,3835
"DeSoto, MS",28033,48759,1924,2931
"Forrest, MS",28035,48475,653,1949
"Franklin, MS",28037,2647,100,160
"George, MS",28039,6505,1153,1112
"Greene, MS",28041,3868,1246,3758
"Grenada, MS",28043,14317,1025,147
"Hancock, MS",28045,20307,1564,410
"Harrison, MS",28047,126885,134,5451
"Hinds, MS",28049,183196,1799,4167
"Holmes, MS",28051,6070,1836,5765
"Humphreys, MS",28053,5309,1681,838
"Issaquena, MS",28055,721,1153,5500
"Itawamba, MS",28057,8038,214,2099
"Jackson, MS",28059,65800,410,2688
"Jasper, MS",28061,6483,868,5136
"Jefferson, MS",28063,1979,994,2034
"Jefferson Davis, MS",28065,3905,1344,1137
"Jones, MS",28067,36612,262,4871
"Kemper, MS",28069,2963,177,4073
"Lafayette, MS",28071,22420,1536,4300
"Lamar, MS",28073,17728,1675,1746
"Lauderdale, MS",28075,46148,1616,3433
"Lawrence, MS",28077,5036,346,4699
"Leake, MS",28079,9167,1729,4823
"Lee, MS",28081,66260,1034,4628
"Leflore, MS",28083,20377,205,4191
"Lincoln, MS",28085,17018,672,613
"Lowndes, MS",28087,35320,1232,2096
"Madison, MS",28089,40069,673,555
"Marion, MS",28091,11095,1401,4639
"Marshall, MS",28093,10597,1382,1360
"Monroe, MS",28095,15090,730,713
"Montgomery, MS",28097,4849,45,1347
"Neshoba, MS",28099,16368,1865,3221
"Newton, MS",28101,9310,569,1076
"Noxubee, MS",28103,5292,499,2494
"Oktibbeha, MS",28105,23468,905,5690
"Panola, MS",28107,14929,638,3602
"Pearl River, MS",28109,16109,959,4692
"Perry, MS",28111,3942,75,3529
"Pike, MS",28113,20197,340,1648
"Pontotoc, MS",28115,14400,404,3950
"Prentiss, MS",28117,11165,787,3522
"Quitman, MS",28119,2907,692,3620
"Rankin, MS",28121,65072,1613,1434
"Scott, MS",28123,15445,1753,4676
"Sharkey, MS",28125,2308,1629,3547
"Simpson, MS",28127,10543,1180,37
"Smith, MS",28129,6187,1877,5394
"Stone, MS",28131,5079,100,4047
"Sunflower, MS",28133,15550,884,2558
"Tallahatchie, MS",28135,4757,309,5684
"Tate, MS",28137,9999,1183,1753
"Tippah, MS",28139,10116,981,168
"Tishomingo, MS",28141,8304,265,3680
"Tunica, MS",28143,19485,1950,5133
"Union, MS",28145,12398,981,5966
"Walthall, MS",28147,5194,522,2279
"Warren, MS",28149,31316,224,643
"Washington, MS",28151,30190,1215,391
"Wayne, MS",28153,8479,444,1274
"Webster, MS",28155,4952,257,3647
"Wilkinson, MS",28157,2834,780,3111
"Winston, MS",28159,8674,1683,2577
"Yalobusha, MS",28161,5009,559,224
"Yazoo, MS",28163,10112,1643,5518
MISSOURI,29000,3497220,915,2161
"Adair, MO",29001,16079,1941,384
"Andrew, MO",29003,6060,1038,5033
"Atchison, MO",29005,3473,1262,2442
"Audrain, MO",29007,15633,1709,4704
"Barry, MO",29009,22989,191,4330
"Barton, MO",29011,8375,416,3378
"Bates, MO",29013,7946,1760,3741
"Benton, MO",29015,6789,1170,1905
"Bollinger, MO",29017,4724,1183,4436
"Boone, MO",29019,101107,239,2063
"Buchanan, MO",29021,53661,721,978
"Butler, MO",29023,23395,1548,4671
"Caldwell, MO",29025,4485,846,2393
"Callaway, MO",29027,19678,431,4726
"Camden, MO",29029,24156,1925,5213
"Cape Girardeau, MO",29031,51906,1743,847
"Carroll, MO",29033,5290,1150,5922
"Carter, MO",29035,2287,972,1652
"Cass, MO",29037,31171,105,4244
"Cedar, MO",29039,6596,616,4301
"Chariton, MO",29041,5110,1269,1059
"Christian, MO",29043,23366,1812,3492
"Clark, MO",29045,3325,1956,3693
"Clay, MO",29047,110779,741,5710
"Clinton, MO",29049,7177,1867,909
"Cole, MO",29051,62792,978,2975
"Cooper, MO",29053,8761,691,5795
"Crawford, MO",29055,10390,33,1809
"Dade, MO",29057,4088,596,5800
"Dallas, MO",29059,6656,1533,3230
"Daviess, MO",29061,4080,628,5928
"DeKalb, MO",29063,4790,103,705
"Dent, MO",29065,7578,1080,3349
"Douglas, MO",29067,7340,216,2397
"Dunklin, MO",29069,14468,163,1776
"Franklin, MO",29071,46684,102,5928
"Gasconade, MO",29073,8768,1540,5791
"Gentry, MO",29075,3774,1081,2126
"Greene, MO",29077,182777,938,3712
"Grundy, MO",29079,6005,1359,3699
"Harrison, MO",29081,5025,702,4429
"Henry, MO",29083,12014,1950,1404
"Hickory, MO",29085,2823,203,360
"Holt, MO",29087,2744,309,2283
"Howard, MO",29089,4474,1395,5127
"Howell, MO",29091,22295,1058,1062
"Iron, MO",29093,4544,1197,2147
"Jackson, MO",29095,473886,906,4601
"Jasper, MO",29097,75355,1722,5893
"Jefferson, MO",29099,64569,1779,3547
"Johnson, MO",29101,27796,1218,4306
"Knox, MO",29103,2336,1800,2086
"Laclede, MO",29105,19501,560,3893
"Lafayette, MO",29107,14434,1586,2638
"Lawrence, MO",29109,13975,1441,4164
"Lewis, MO",29111,4700,372,4847
"Lincoln, MO",29113,14182,1421,3750
"Linn, MO",29115,7822,1423,3692
"Livingston, MO",29117,9218,1661,2862
"McDonald, MO",29119,9331,825,1533
"Macon, MO",29121,8547,1906,2804
"Madison, MO",29123,4711,875,2659
"Maries, MO",29125,4704,1316,4411
"Marion, MO",29127,18661,1028,233
"Mercer, MO",29129,2689,1297,3579
"Miller, MO",29131,11047,1811,2395
"Mississippi, MO",29133,5807,1515,4330
"Moniteau, MO",29135,7356,1214,123
"Monroe, MO",29137,5421,71,3352
"Montgomery, MO",29139,6079,1533,5439
"Morgan, MO",29141,7724,141,1240
"New Madrid, MO",29143,10701,76,1929
"Newton, MO",29145,25443,1906,2030
"Nodaway, MO",29147,13464,1910,1420
"Oregon, MO",29149,5012,279,4814
"Osage, MO",29151,6250,1910,785
"Ozark, MO",29153,3617,770,1101
"Pemiscot, MO",29155,8348,1252,3258
"Perry, MO",29157,11978,39,1685
"Pettis, MO",29159,25694,827,2477
"Phelps, MO",29161,22412,445,5912
"Pike, MO",29163,8491,918,1423
"Platte, MO",29165,44144,1838,128
"Polk, MO",29167,11874,146,4267
"Pulaski, MO",29169,25397,1220,4698
"Putnam, MO",29171,2507,24,1157
"Ralls, MO",29173,4108,623,5186
"Randolph, MO",29175,13279,1265,603
"Ray, MO",29177,9511,1157,2538
"Reynolds, MO",29179,3080,1108,5539
"Ripley, MO",29181,4592,1153,4582
"St. Charles, MO",29183,125498,239,3891
"St. Clair, MO",29185,4222,1487,4314
"Ste. Genevieve, MO",29186,8099,1741,5044
"St. Francois, MO",29187,26200,154,2239
"St. Louis, MO",29189,787265,1882,1143
"Saline, MO",29195,14113,279,3591
"Schuyler, MO",29197,1761,1422,3363
"Scotland, MO",29199,2590,1431,3793
"Scott, MO",29201,20239,1058,5422
"Shannon, MO",29203,3691,809,3142
"Shelby, MO",29205,3811,1236,94
"Stoddard, MO",29207,14785,243,2062
"Stone, MO",29209,13022,1086,2101
"Sullivan, MO",29211,4520,310,1044
"Taney, MO",29213,29542,284,5095
"Texas, MO",29215,10063,1851,385
"Vernon, MO",29217,11561,1577,2789
"Warren, MO",29219,9603,1238,3132
"Washington, MO",29221,7248,1820,1165
"Wayne, MO",29223,4079,1175,2090
"Webster, MO",29225,11149,461,3280
"Worth, MO",29227,1255,1963,1094
"Wright, MO",29229,8549,1909,3027
"St. Louis city, MO",29510,296175,1519,2659
MONTANA,30000,559055,1738,1530
"Beaverhead, MT",30001,5603,1430,2126
"Big Horn, MT",30003,6222,1788,5232
"Blaine, MT",30005,2888,688,1050
"Broadwater, MT",30007,2113,1966,1998
"Carbon, MT",30009,4957,2000,5216
"Carter, MT",30011,898,244,4319
"Cascade, MT",30013,48647,622,4715
"Chouteau, MT",30015,3173,1327,1788
"Custer, MT",30017,7017,1604,3516
"Daniels, MT",30019,1689,319,2000
"Dawson, MT",30021,5660,363,2460
"Deer Lodge, MT",30023,4362,1850,4904
"Fallon, MT",30025,1926,438,2564
"Fergus, MT",30027,7299,264,3211
"Flathead, MT",30029,49278,1175,1037
"Gallatin, MT",30031,51586,1410,1702
"Garfield, MT",30033,859,1622,4615
"Glacier, MT",30035,5846,885,1926
"Golden Valley, MT",30037,492,980,2245
"Granite, MT",30039,1801,608,3649
"Hill, MT",30041,9496,286,1605
"Jefferson, MT",30043,4687,1435,928
"Judith Basin, MT",30045,1265,1670,2207
"Lake, MT",30047,13818,1569,3573
"Lewis and Clark, MT",30049,39011,1784,2403
"Liberty, MT",30051,1245,1245,4032
"Lincoln, MT",30053,8974,628,2992
"McCone, MT",30055,1207,523,5075
"Madison, MT",30057,3832,1778,692
"Meagher, MT",30059,1173,342,142
"Mineral, MT",30061,1850,852,5207
"Missoula, MT",30063,67036,942,3022
"Musselshell, MT",30065,1984,1026,759
"Park, MT",30067,8832,1113,2835
"Petroleum, MT",30069,298,524,4437
"Phillips, MT",30071,2774,823,896
"Pondera, MT",30073,3291,1581,4158
"Powder River, MT",30075,1132,231,5908
"Powell, MT",30077,3593,1052,5364
"Prairie, MT",30079,663,1290,3139
"Ravalli, MT",30081,16963,369,4560
"Richland, MT",30083,6206,1268,4286
"Roosevelt, MT",30085,5315,593,1647
"Rosebud, MT",30087,5893,1964,3629
"Sanders, MT",30089,5045,1200,3724
"Sheridan, MT",30091,2465,1607,4272
"Silver Bow, MT",30093,18958,931,3701
"Stillwater, MT",30095,4905,480,5074
"Sweet Grass, MT",30097,2175,1001,559
"Teton, MT",30099,3317,1455,540
"Toole, MT",30101,3289,1041,4239
"Treasure, MT",30103,420,1888,4715
"Valley, MT",30105,4656,1127,4707
"Wheatland, MT",30107,1103,763,2629
"Wibaux, MT",30109,668,873,5212
"Yellowstone, MT",30111,89200,1821,5846
"Yellowstone National Park, MT",30113,0,1255,3497
NEBRASKA,31000,1183320,616,1952
"Adams, NE",31001,20795,1323,3757
"Antelope, NE",31003,4804,580,2534
"Arthur, NE",31005,287,1005,2422
"Banner, NE",31007,414,1776,70
"Blaine, NE",31009,402,1154,5729
"Boone, NE",31011,3692,877,4954
"Box Butte, NE",31013,8013,1479,5445
"Boyd, NE",31015,1471,401,4354
"Brown, NE",31017,2331,993,5923
"Buffalo, NE",31019,31029,1489,1682
"Burt, NE",31021,3789,974,1233
"Butler, NE",31023,4394,1392,3189
"Cass, NE",31025,9138,1349,2329
"Cedar, NE",31027,5472,1301,5995
"Chase, NE",31029,2638,504,1380
"Cherry, NE",31031,4053,1907,553
"Cheyenne, NE",31033,7350,628,2124
"Clay, NE",31035,4388,616,1630
"Colfax, NE",31037,6649,1010,3970
"Cuming, NE",31039,6835,564,3253
"Custer, NE",31041,7064,1738,2340
"Dakota, NE",31043,14170,1011,2737
"Dawes, NE",31045,5536,1851,829
"Dawson, NE",31047,15470,1456,5700
"Deuel, NE",31049,1141,135,3636
"Dixon, NE",31051,3119,255,43
"Dodge, NE",31053,22364,1083,267
"Douglas, NE",31055,400682,1153,5815
"Dundy, NE",31057,1442,1716,5574
"Fillmore, NE",31059,4194,645,3131
"Franklin, NE",31061,1848,1429,4671
"Frontier, NE",31063,1769,635,4644
"Furnas, NE",31065,2934,238,52
"Gage, NE",31067,14661,1262,5850
"Garden, NE",31069,1482,599,2797
"Garfield, NE",31071,1342,1681,4739
"Gosper, NE",31073,1018,577,4139
"Grant, NE",31075,430,1387,3514
"Greeley, NE",31077,1520,1145,5163
"Hall, NE",31079,39766,577,2796
"Hamilton, NE",31081,4948,448,884
"Harlan, NE",31083,1896,1399,5306
"Hayes, NE",31085,644,214,1643
"Hitchcock, NE",31087,1556,1965,2282
"Holt, NE",31089,7653,1872,4494
"Hooker, NE",31091,548,327,1851
"Howard, NE",31093,3169,1352,511
"Jefferson, NE",31095,4815,1759,1705
"Johnson, NE",31097,2570,586,2281
"Kearney, NE",31099,3564,1432,2071
"Keith, NE",31101,5524,1450,48
"Keya Paha, NE",31103,593,686,2268
"Kimball, NE",31105,2856,1950,2060
"Knox, NE",31107,4947,524,754
"Lancaster, NE",31109,185360,134,5826
"Lincoln, NE",31111,21097,1195,242
"Logan, NE",31113,455,1913,5515
"Loup, NE",31115,341,1099,1111
"McPherson, NE",31117,260,1302,5961
"Madison, NE",31119,27535,1801,4765
"Merrick, NE",31121,3701,931,1890
"Morrill, NE",31123,2601,1450,774
"Nance, NE",31125,2037,1551,4936
"Nemaha, NE",31127,5408,1538,820
"Nuckolls, NE",31129,3263,1852,3683
"Otoe, NE",31131,9016,290,3813
"Pawnee, NE",31133,1689,544,5078
"Perkins, NE",31135,2081,433,4722
"Phelps, NE",31137,6697,785,4983
"Pierce, NE",31139,3747,606,5059
"Platte, NE",31141,22987,1719,5214
"Polk, NE",31143,2895,1375,1847
"Red Willow, NE",31145,7559,1606,5890
"Richardson, NE",31147,4987,383,4926
"Rock, NE",31149,1172,44,3846
"Saline, NE",31151,8580,1382,2409
"Sarpy, NE",31153,55460,1186,4592
"Saunders, NE",31155,7972,1557,1461
"Scotts Bluff, NE",31157,22783,1825,4450
"Seward, NE",31159,9567,1355,2512
"Sheridan, NE",31161,3480,1363,4142
"Sherman, NE",31163,1670,1604,2910
"Sioux, NE",31165,701,1368,3689
"Stanton, NE",31167,2571,951,326
"Thayer, NE",31169,3996,1997,2418
"Thomas, NE",31171,470,754,2022
"Thurston, NE",31173,3386,1608,5006
"Valley, NE",31175,2747,1533,480
"Washington, NE",31177,10251,1010,5677
"Wayne, NE",31179,6124,267,2904
"Webster, NE",31181,2163,1837,4072
"Wheeler, NE",31183,635,1765,818
"York, NE",31185,10697,56,2158
NEVADA,32000,1267999,1065,4674
"Churchill, NV",32001,14608,1487,3894
"Clark, NV",32003,863502,1762,5368
"Douglas, NV",32005,29344,1890,599
"Elko, NV",32007,24245,1955,2703
"Esmeralda, NV",32009,433,1994,1837
"Eureka, NV",32011,4496,1092,3804
"Humboldt, NV",32013,9754,1232,3091
"Lander, NV",32015,2837,1863,1461
"Lincoln, NV",32017,1963,675,3907
"Lyon, NV",32019,14377,1150,5160
"Mineral, NV",32021,2488,332,69
"Nye, NV",32023,13897,423,4650
"Pershing, NV",32027,2628,814,3226
"Storey, NV",32029,1254,1417,4384
"Washoe, NV",32031,238759,790,2702
"White Pine, NV",32033,4057,126,5827
"Carson City city, NV",32510,39357,1626,5060
NEW HAMPSHIRE,33000,784839,637,4658
"Belknap, NH",33001,36030,1141,14
"Carroll, NH",33003,28501,1976,2063
"Cheshire, NH",33005,44722,1545,5422
"Coos, NH",33007,19315,1769,992
"Grafton, NH",33009,65620,894,378
"Hillsborough, NH",33011,246865,195,1019
"Merrimack, NH",33013,90074,209,2466
"Rockingham, NH",33015,173936,1070,87
"Strafford, NH",33017,59423,935,757
"Sullivan, NH",33019,20353,589,4918
NEW JERSEY,34000,4755379,227,4019
"Atlantic, NJ",34001,175503,526,1701
"Bergen, NJ",34003,581381,1830,5527
"Burlington, NJ",34005,237452,228,951
"Camden, NJ",34007,254572,558,5516
"Cape May, NJ",34009,54043,1519,2885
"Cumberland, NJ",34011,71076,1272,4675
"Essex, NJ",34013,455846,17,2764
"Gloucester, NJ",34015,109742,1892,1712
"Hudson, NJ",34017,295936,1723,5170
"Hunterdon, NJ",34019,69402,426,277
"Mercer, NJ",34021,242927,679,5819
"Middlesex, NJ",34023,482892,711,2388
"Monmouth, NJ",34025,317945,474,973
"Morris, NJ",34027,359433,1776,4915
"Ocean, NJ",34029,183975,1016,3781
"Passaic, NJ",34031,224421,782,4966
"Salem, NJ",34033,28313,571,5163
"Somerset, NJ",34035,217373,1396,5522
"Sussex, NJ",34037,55199,1824,5648
"Union, NJ",34039,293234,1670,4280
"Warren, NJ",34041,44714,1397,5987
NEW MEXICO,35000,972954,1156,1092
"Bernalillo, NM",35001,394104,820,2895
"Catron, NM",35003,1456,250,3694
"Chaves, NM",35005,28017,498,3084
"Cibola, NM",35006,8656,1354,1696
"Colfax, NM",35007,8465,1286,4133
"Curry, NM",35009,22183,1185,1460
"De Baca, NM",35011,1039,1897,5471
"Dona Ana, NM",35013,75557,1044,5754
"Eddy, NM",35015,25530,303,1076
"Grant, NM",35017,14720,1806,685
"Guadalupe, NM",35019,2120,317,3535
"Harding, NM",35021,617,776,499
"Hidalgo, NM",35023,2388,124,4871
"Lea, NM",35025,28469,1730,2056
"Lincoln, NM",35027,10536,1621,3494
"Los Alamos, NM",35028,19832,1234,2674
"Luna, NM",35029,8885,334,640
"McKinley, NM",35031,27417,134,708
"Mora, NM",35033,1767,107,2610
"Otero, NM",35035,27278,958,693
"Quay, NM",35037,5006,1184,1515
"Rio Arriba, NM",35039,15537,1304,2938
"Roosevelt, NM",35041,7800,534,2033
"Sandoval, NM",35043,32379,1546,2327
"San Juan, NM",35045,54749,1987,5314
"San Miguel, NM",35047,12281,287,2598
"Santa Fe, NM",35049,81875,611,4941
"Sierra, NM",35051,4603,1656,4379
"Socorro, NM",35053,7237,1742,833
"Taos, NM",35055,15918,1733,3031
"Torrance, NM",35057,5146,623,3153
"Union, NM",35059,2586,1401,2155
"Valencia, NM",35061,18801,1307,1497
NEW YORK,36000,10455409,1457,4861
"Albany, NY",36001,275485,1200,898
"Allegany, NY",36003,20635,1259,1647
"Bronx, NY",36005,288070,1735,4679
"Broome, NY",36007,122190,432,987
"Cattaraugus, NY",36009,42063,1152,2366
"Cayuga, NY",36011,35374,1131,4059
"Chautauqua, NY",36013,73367,1144,2326
"Chemung, NY",36015,51357,120,5070
"Chenango, NY",36017,23671,1178,2317
"Clinton, NY",36019,42356,1980,363
"Columbia, NY",36021,31364,113,4022
"Cortland, NY",36023,24883,1554,2118
"Delaware, NY",36025,26453,231,1030
"Dutchess, NY",36027,141886,1458,2287
"Erie, NY",36029,552994,1219,5054
"Essex, NY",36031,20644,358,1577
"Franklin, NY",36033,22899,915,3758
"Fulton, NY",36035,26044,1154,3870
"Genesee, NY",36037,30411,1600,5757
"Greene, NY",36039,18205,1074,1876
"Hamilton, NY",36041,2614,1445,5721
"Herkimer, NY",36043,26266,1425,2054
"Jefferson, NY",36045,61052,683,283
"Kings, NY",36047,616087,1524,53
"Lewis, NY",36049,10998,1317,5983
"Livingston, NY",36051,27845,10,79
"Madison, NY",36053,30653,1122,3924
"Monroe, NY",36055,483602,1952,2503
"Montgomery, NY",36057,23438,218,1814
"Nassau, NY",36059,763981,1781,2449
"New York, NY",36061,2777386,1598,4713
"Niagara, NY",36063,95007,1778,4697
"Oneida, NY",36065,134625,408,622
"Onondaga, NY",36067,303934,1239,449
"Ontario, NY",36069,61944,1480,5763
"Orange, NY",36071,159880,119,77
"Orleans, NY",36073,15949,1665,341
"Oswego, NY",36075,44434,1848,3814
"Otsego, NY",36077,29874,1488,2688
"Putnam, NY",36079,33251,1820,688
"Queens, NY",36081,656738,1809,680
"Rensselaer, NY",36083,66395,1787,3943
"Richmond, NY",36085,120606,1801,564
"Rockland, NY",36087,137327,254,4323
"St. Lawrence, NY",36089,50350,87,3953
"Saratoga, NY",36091,92931,1939,2014
"Schenectady, NY",36093,77293,1360,3890
"Schoharie, NY",36095,12492,1576,92
"Schuyler, NY",36097,7939,1756,3651
"Seneca, NY",36099,14592,1846,4981
"Steuben, NY",36101,52338,813,4397
"Suffolk, NY",36103,737379,1388,3961
"Sullivan, NY",36105,33078,1760,1595
"Tioga, NY",36107,18924,1508,2079
"Tompkins, NY",36109,62632,1720,3273
"Ulster, NY",36111,83057,1597,5610
"Warren, NY",36113,42464,828,769
"Washington, NY",36115,22078,1871,3164
"Wayne, NY",36117,39593,56,5505
"Westchester, NY",36119,526998,1342,347
"Wyoming, NY",36121,17320,733,1131
"Yates, NY",36123,9714,1483,3352
NORTH CAROLINA,37000,4924918,1519,194
"Alamance, NC",37001,81828,1974,4050
"Alexander, NC",37003,15606,285,4373
"Alleghany, NC",37005,6635,125,5700
"Anson, NC",37007,10844,1444,933
"Ashe, NC",37009,13465,11,2573
"Avery, NC",37011,12004,1155,810
"Beaufort, NC",37013,24001,1901,3188
"Bertie, NC",37015,8959,1293,3881
"Bladen, NC",37017,17357,708,1003
"Brunswick, NC",37019,33001,274,297
"Buncombe, NC",37021,138606,1595,140
"Burke, NC",37023,48242,1643,1429
"Cabarrus, NC",37025,76037,45,614
"Caldwell, NC",37027,43388,1166,1603
"Camden, NC",37029,2475,511,3706
"Carteret, NC",37031,32289,1186,4213
"Caswell, NC",37033,6460,862,4785
"Catawba, NC",37035,114926,464,1937
"Chatham, NC",37037,26583,278,2913
"Cherokee, NC",37039,12446,1941,590
"Chowan, NC",37041,7602,751,4185
"Clay, NC",37043,3332,141,2227
"Cleveland, NC",37045,47039,1104,5960
"Columbus, NC",37047,25260,1946,2968
"Craven, NC",37049,58591,851,5
"Cumberland, NC",37051,181405,1859,2669
"Currituck, NC",37053,6359,1457,808
"Dare, NC",37055,24630,1537,3623
"Davidson, NC",37057,74120,1399,3592
"Davie, NC",37059,16232,203,4874
"Duplin, NC",37061,26731,615,1972
"Durham, NC",37063,199226,38,1901
"Edgecombe, NC",37065,29376,895,2803
"Forsyth, NC",37067,220049,478,1456
"Franklin, NC",37069,17430,1895,249
"Gaston, NC",37071,99853,1049,509
"Gates, NC",37073,2549,476,3526
"Graham, NC",37075,3821,1351,4712
"Granville, NC",37077,23476,1379,4525
"Greene, NC",37079,8169,946,1142
"Guilford, NC",37081,333163,438,3029
"Halifax, NC",37083,23856,188,2614
"Harnett, NC",37085,35303,283,1391
"Haywood, NC",37087,25217,1648,4501
"Henderson, NC",37089,45161,233,1282
"Hertford, NC",37091,11715,919,5570
"Hoke, NC",37093,10995,1027,5256
"Hyde, NC",37095,3195,365,1118
"Iredell, NC",37097,70986,913,4367
"Jackson, NC",37099,18756,541,274
"Johnston, NC",37101,51425,1845,5820
"Jones, NC",37103,2966,121,2104
"Lee, NC",37105,34047,1029,1527
"Lenoir, NC",37107,36604,560,4521
"Lincoln, NC",37109,24642,255,5079
"McDowell, NC",37111,21901,146,3811
"Macon, NC",37113,15641,722,1004
"Madison, NC",37115,7939,1368,1188
"Martin, NC",37117,12175,604,1803
"Mecklenburg, NC",37119,613610,559,328
"Mitchell, NC",37121,8489,701,5104
"Montgomery, NC",37123,14922,1442,2559
"Moore, NC",37125,41533,1631,5011
"Nash, NC",37127,50979,56,3092
"New Hanover, NC",37129,109662,1771,1131
"Northampton, NC",37131,6790,1384,1603
"Onslow, NC",37133,88246,1876,2107
"Orange, NC",37135,75941,1493,4094
"Pamlico, NC",37137,4573,1661,3640
"Pasquotank, NC",37139,19628,86,49
"Pender, NC",37141,12911,1120,2357
"Perquimans, NC",37143,3341,1080,1061
"Person, NC",37145,16381,1420,1727
"Pitt, NC",37147,80328,841,1852
"Polk, NC",37149,6888,1819,4138
"Randolph, NC",37151,64446,1761,2744
"Richmond, NC",37153,20329,1129,2419
"Robeson, NC",37155,51624,260,4721
"Rockingham, NC",37157,43057,1907,1785
"Rowan, NC",37159,58088,1363,5667
"Rutherford, NC",37161,31604,258,2957
"Sampson, NC",37163,23142,1222,2533
"Scotland, NC",37165,20806,1170,1992
"Stanly, NC",37167,28060,1007,4833
"Stokes, NC",37169,13286,290,4451
"Surry, NC",37171,46314,1548,2762
"Swain, NC",37173,6852,197,382
"Transylvania, NC",37175,14778,771,3432
"Tyrrell, NC",37177,1470,112,2499
"Union, NC",37179,58587,1371,4187
"Vance, NC",37181,23145,232,2215
"Wake, NC",37183,474564,211,4976
"Warren, NC",37185,5787,1810,116
"Washington, NC",37187,5095,1628,3227
"Watauga, NC",37189,28328,1512,2463
"Wayne, NC",37191,60574,307,775
"Wilkes, NC",37193,35951,940,2560
"Wilson, NC",37195,45554,157,4682
"Yadkin, NC",37197,15071,1806,2955
"Yancey, NC",37199,8095,1721,2617
NORTH DAKOTA,38000,447380,789,1490
"Adams, ND",38001,1738,990,931
"Barnes, ND",38003,7710,566,2144
"Benson, ND",38005,3378,1583,1647
"Billings, ND",38007,772,1563,2392
"Bottineau, ND",38009,4501,1402,18
"Bowman, ND",38011,2334,1001,1591
"Burke, ND",38013,1701,1948,4403
"Burleigh, ND",38015,55070,1149,4352
"Cass, ND",38017,102923,1278,3302
"Cavalier, ND",38019,3498,506,4656
"Dickey, ND",38021,3806,1942,1464
"Divide, ND",38023,1720,830,168
"Dunn, ND",38025,1953,1071,4887
"Eddy, ND",38027,1512,1811,4487
"Emmons, ND",38029,2674,1025,3190
"Foster, ND",38031,2591,758,3864
"Golden Valley, ND",38033,1207,816,5758
